Ticker,StartDate,EndDate,Company,Identity,Aliases,Source,ComponentHistoryLabels,EventDate,EventType,PriorTicker,PriorCompany,EventDetail
PAG,2007-07-02,2025-12-31,"Penske Automotive Group, Inc.",PENSKE_AUTO,Penske Automotive Group,GLI historical roster and company-name audit,Penske Automotive Group,2007-07-02,NAME_AND_TICKER_CHANGE,UAG,"United Auto Group, Inc.","Same security; the name and ticker changed, so this is not membership turnover."
PATK,2005-08-31,2009-04-08,"Patrick Industries, Inc.",PATK,Patrick Industries,GLI historical roster and company-name audit,Patrick Industries,,,,,
PATK,2018-12-06,2025-12-31,"Patrick Industries, Inc.",PATK,Patrick Industries,GLI historical roster and company-name audit,Patrick Industries,,,,,
PG,2005-10-11,2025-12-31,The Procter & Gamble Company,PG,Procter & Gamble,GLI historical roster and company-name audit,Procter & Gamble,,,,,
PH,2006-11-20,2025-12-31,Parker-Hannifin Corporation,PH,Parker Hannifin Corp.,GLI historical roster and company-name audit,Parker Hannifin Corp.,,,,,
PHM,2005-10-10,2010-03-30,"Pulte Homes, Inc.",PULTE,Pulte Homes,historical corporate-name chronology,Pulte Homes,,,,,
PHM,2010-03-31,2025-12-31,"PulteGroup, Inc.",PULTE,PulteGroup,historical corporate-name chronology,PulteGroup,,,,,
PKG,2005-10-10,2025-12-31,Packaging Corporation of America,PKG,Packaging Corp. of America,GLI historical roster and company-name audit,Packaging Corp. of America,,,,,
PLA,2006-11-20,2011-03-04,"Playboy Enterprises, Inc.",PLA,Playboy Enterprises,GLI historical roster and company-name audit,Playboy Enterprises,,,,,
PRGO,2005-10-10,2013-12-19,Perrigo Company,PRGO,Perrigo Co.,GLI historical roster and company-name audit,Perrigo Co.,,,,,
PZZA,2005-09-22,2005-10-20,"Papa John's International, Inc.",PZZA,Papa John's International,GLI historical roster and company-name audit,Papa John's International,,,,,
QUIX,2007-01-19,2010-01-26,Quixote Corporation,QUIX,Quixote Corp.,GLI historical roster and company-name audit,Quixote Corp.,,,,,
RAIL,2007-01-19,2025-12-31,"FreightCar America, Inc.",RAIL,FreightCar America,GLI historical roster and company-name audit,FreightCar America,,,,,
RCRC,2008-07-18,2011-04-28,RC2 Corporation,RCRC,RC2 Corp.,GLI historical roster and company-name audit,RC2 Corp.,,,,,
REX,2013-05-29,2025-12-31,REX American Resources Corporation,REX,REX American Resources,GLI historical roster and company-name audit,REX American Resources,,,,,
RJET,2007-01-19,2016-03-07,Republic Airways Holdings Inc.,RJET,Republic Airways Holdings,GLI historical roster and company-name audit,Republic Airways Holdings,,,,,
RKT,2025-12-11,2025-12-31,"Rocket Companies, Inc.",RKT,,GLI historical roster and company-name audit,,,,,,
RRD,2009-04-09,2022-02-25,R.R. Donnelley & Sons Company,RRD,RR Donnelley & Sons,GLI historical roster and company-name audit,RR Donnelley & Sons,,,,,
RSC,2005-10-11,2006-03-06,REX Stores Corporation,RSC,REX Stores Corp.,GLI historical roster and company-name audit,REX Stores Corp.,,,,,
RSTI,2014-02-05,2016-11-07,Rofin-Sinar Technologies Inc.,RSTI,Rofin-Sinar Technologies,GLI historical roster and company-name audit,Rofin-Sinar Technologies,,,,,
SCHS,2009-06-01,2011-12-23,"School Specialty, Inc.",SCHS,,GLI historical roster and company-name audit,"School Specialty, Inc.",,,,,
SCL,2013-02-13,2025-12-31,Stepan Company,SCL,,GLI historical roster and company-name audit,Stepan Company,,,,,
